number,name,address,coordonnees,latitude,longitude
7045,7045 - PARC DES BERGES,40 AV. LECLERC,"['45.737745', '4.824495']",45.737745,4.824495
3101,3101 - PATINOIRE BARABAN,55 RUE DE BARABAN,"['45.762055', '4.868486']",45.762055,4.868486
4021,4021 - TABAREAU,Angle Bvd de la Croix-Rousse,"['45.774061', '4.82516']",45.774061,4.82516
3103,3103 - PLACE DANTON,3 PLACE DANTON,"['45.7548502313005', '4.85748756866509']",45.7548502313005,4.85748756866509
6031,6031 - LAFAYETTE / CORNEILLE,Angle cours Lafayette,"['45.763717', '4.843791']",45.763717,4.843791
10018,10018 - TOLSTOÏ / FLORIAN,Rue Florian/Angle Cours Tolstoï,"['45.761801', '4.880735']",45.761801,4.880735
9049,9049 - SERGENT BERTHET / GORGE DE LOUP,23 RUE GORGE DE LOUP,"['45.770136', '4.80516']",45.770136,4.80516
3017,3017 - SAXE / DUNOIR,,"['45.760912', '4.845291']",45.760912,4.845291
9009,9009 - BERLIOZ / CHALINEL,,"['45.801192', '4.825451']",45.801192,4.825451
10021,10021 - GRANDCLÉMENT,Angle cours Tolstoï,"['45.759743', '4.889938']",45.759743,4.889938
7023,7023 - BERTHELOT / ROUTE DE VIENNE,Route de Vienne - Angle avenue Berthelot,"['45.742639', '4.850538']",45.742639,4.850538
6044,6044 - CHARMETTES / BELLECOMBE,23 RUE DE LA VIABERT,"['45.766372', '4.865058']",45.766372,4.865058
3008,3008 - INSTITUT LUMIERE,105 COURS ALBERT THOMAS,"['45.745828', '4.870631']",45.745828,4.870631
3040,3040 - FAURE / DANTON,,"['45.753528', '4.857784']",45.753528,4.857784
8042,8042 - FRANCIS DE PRESSENSÉ,73 RUE CAZENEUVE,"['45.731361', '4.860139']",45.731361,4.860139
9044,9044 - MASSET / SAINT-PIERRE DE VAISE,20 AV. JOANNES MASSET,"['45.770508', '4.800869']",45.770508,4.800869
28001,28001 - FONTAINES S/S - QUAI SIMON,,"['45.832495', '4.848795']",45.832495,4.848795
10075,10075 - GABRIEL PÉRI,Angle cours André Philip,"['45.772277', '4.865774']",45.772277,4.865774
4006,4006 - PHILIPPE DE LASSALLE,Angle rue Anselme face à l'IUFM,"['45.773358', '4.821234']",45.773358,4.821234
6017,6017 - LAFAYETTE / INKERMANN,,"['45.764062', '4.865802']",45.764062,4.865802
2036,2036 - PLACE ANTONIN GOURJU,11 PLACE ANTONIN GOURJU,"['45.759494', '4.830161']",45.759494,4.830161
6002,6002 - PORTE DES ENFANTS DU RHÔNE,Le long des grilles côté ouest de la porte,"['45.777521', '4.844922']",45.777521,4.844922
6032,6032 - PRÉFECTURE / SARRAIL,Angle rue Vauban,"['45.764821', '4.841567']",45.764821,4.841567
8055,8055 - SAINT-ROMAIN / BERLIET,,"['45.74222', '4.860219']",45.74222,4.860219
10016,10016 - PLACE DE LA PAIX,10 PLACE DE LA PAIX (VILLEURBANNE),"['45.752074', '4.91466']",45.752074,4.91466
7033,7033 - SAINT-LUC / SAINT-JOSEPH,Sur le quai haut,"['45.749431', '4.834816']",45.749431,4.834816
7041,7041 - DOMER / CHEVREUL,Rue Domer/angle rue Chevreul,"['45.746681', '4.844455']",45.746681,4.844455
3090,3090 - VINATIER,,"['45.741922', '4.894068']",45.741922,4.894068
8008,8008 - BEAUVISAGE / PRESSENSÉ,Rue du Professeur Beauvisage,"['45.727881', '4.86355']",45.727881,4.86355
3071,3071 - BIOPARC,angle ave Rockfeller / cours Eugénie face au Bioparc,"['45.740492', '4.888084']",45.740492,4.888084
5006,5006 - QUAI ROMAIN ROLLAND,Face ancien Palais de Justice,"['45.7620452080746', '4.82872732991442']",45.7620452080746,4.82872732991442
10014,10014 - LAURENT BONNEVAY / ASTROBALLE,64 AV. MARCEL CERDAN,"['45.765214', '4.909808']",45.765214,4.909808
10004,10004 - TONKIN,Rue Salvador Allende / Angle promenade du Lys,"['45.776217', '4.862636']",45.776217,4.862636
1013,1013 - MARTINIÈRE,Rue de la Martinière,"['45.768223', '4.827533']",45.768223,4.827533
26001,26001 - ST DIDIER,,"['45.791621', '4.808426']",45.791621,4.808426
9010,9010 - PISCINE DE VAISE,37 AV. SIDOINE APOLLINAIRE,"['45.771034', '4.79644']",45.771034,4.79644
6028,6028 - RÉCAMIER / TÊTE D'OR,Angle rue Tête d'Or,"['45.764345', '4.853492']",45.764345,4.853492
10034,10034 - DOCTEUR DAMIDOT,Devant la MJC,"['45.761825', '4.886156']",45.761825,4.886156
3058,3058 - PLACE DU LAC,Face à la poste,"['45.758974', '4.853599']",45.758974,4.853599
6045,6045 - BROTTEAUX / VAUBAN,44 BVD DES BROTTEAUX,"['45.766284', '4.856848']",45.766284,4.856848
5047,5047 - ALBÉRIC PONT,2B RUE DR. ALBERIC PONT,"['45.753452', '4.804401']",45.753452,4.804401
8053,8053 - LUMIERE / TROUILHET,6 RUE ANTOINE LUMIERE,"['45.743569', '4.870083']",45.743569,4.870083
9008,9008 - L'ILE BARBE,3 QUAI PAUL SEDAILLAN,"['45.797415', '4.829038']",45.797415,4.829038
9046,9046 - MANGINI,,"['45.790414', '4.816359']",45.790414,4.816359
4042,4042 - GREGORY COUPET,94 RUE PHILIPPE DE LASALLE,"['45.781699', '4.820596']",45.781699,4.820596
10053,10053 - ROSSELINI / 11 NOVEMBRE,Bd du 11 novembre angle av. Claude Bernard,"['45.77939', '4.863068']",45.77939,4.863068
6039,6039 - GARIBALDI / BUGEAUD,,"['45.766708', '4.852073']",45.766708,4.852073
10110,10110 - MÉMOIRE ET SOCIÉTÉ,20 RUE VALENTIN HAUY (VILLEURBANNE),"['45.75958', '4.882739']",45.75958,4.882739
6021,6021 - GARIBALDI,Entre rue Crillon et rue Sully,"['45.770664', '4.849946']",45.770664,4.849946
5053,5053 - SAINT-JUST,1 PLACE DE L'ABBE LARUE,"['45.75597', '4.818904']",45.75597,4.818904
